Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price

2025-09-04,XYZT,BUY,10,2.50,AI_DECISION
2025-09-04,ABCD,BUY,15,1.80,AI_DECISION
2025-09-04,EFGH,BUY,5,4.00,AI_DECISION
2025-09-04,XELA,SELL,500,0,STOP_LOSS
2025-09-04,BBLG,SELL,100,2.07,STOP_LOSS
2025-09-04,NERV,SELL,50,2.4,STOP_LOSS
2025-09-03,XELA,SELL,500,0.05025,STOP_LOSS
2025-09-03,BBLG,SELL,100,2.07,STOP_LOSS
2025-09-03,NERV,SELL,50,2.4,STOP_LOSS
2025-09-03,XYZT,BUY,50,2.50,AI_DECISION
2025-09-03,ABCD,BUY,30,1.75,AI_DECISION
2025-09-03,EFGH,BUY,40,3.00,AI_DECISION
